(Declared Winner)","NO
(Declared Loser)",UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,Over Votes,Under Votes,Total,"Error Bound (up) - 
Max. possible relative overstatement for
NO (Loser)",Error Bound (up) - UNDEFINED,Error Bound (up) - UNDEFINED,Error Bound (up) - UNDEFINED,Error Bound (up) - UNDEFINED,Error Bound (up) - UNDEFINED,Error Bound (up) - UNDEFINED,Error Bound (up) - UNDEFINED,Error Bound (up) - UNDEFINED,Error Bound (up) - UNDEFINED,Error Bound (up) - UNDEFINED,Max Error Bound (up),up/U Selection Probability,Running (cumulative) sum,Selection Range,Lower Range,Span,Upper Range,"Selection - 
Batch picked for audit",Times p Drawn - With Replacement
Batch by Type (p),Winning Candidate,Losing Candidate,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Candidate 7,Candidate 8,Candidate 9,Candidate 10,Candidate 11,Candidate 12,Over Votes,Under Votes,Total,Error Bound (up) - Max. possible relative overstatement - Losing Candidate,Error Bound (up) - Max. possible relative overstatement - Candidate 3,Error Bound (up) - Max. possible relative overstatement - Candidate 4,Error Bound (up) - Max. possible relative overstatement - Candidate 5,Error Bound (up) - Max. possible relative overstatement - Candidate 6,Error Bound (up) - Max. possible relative overstatement - Candidate 7,Error Bound (up) - Max. possible relative overstatement - Candidate 8,Error Bound (up) - Max. possible relative overstatement - Candidate 9,Error Bound (up) - Max. possible relative overstatement - Candidate 10,Error Bound (up) - Max. possible relative overstatement - Candidate 11,Error Bound (up) - Max. possible relative overstatement - Candidate 12,Max Error Bound (up),up/U Selection Probability,Running (cumulative) sum,Selection Range,Lower Range,Span,Upper Range,Selection - Batch picked for audit,Times p Drawn - With Replacement
4422 NORW 2-B   (AV),151,51,,,,,,,,,,,0,0,202,0.003497151,0,0,0,0,0,0,0,0,0,0,0.003497151,0.000805104, 0.15 ,14497 - 14577,14497.1968,79.51036104,14576.70716,,0
4423 NORW 2-C   (AV),126,37,,,,,,,,,,,0,0,163,0.002918153,0,0,0,0,0,0,0,0,0,0,0.002918153,0.000671808, 0.15 ,14578 - 14644,14577.70716,66.18083107,14643.88799,,0
4431 NORW 3-A   (AV),128,25,,,,,,,,,,,0,1,154,0.002976053,0,0,0,0,0,0,0,0,0,0,0.002976053,0.000685138, 0.15 ,14645 - 14712,14644.88799,67.51378407,14712.40178,,0
4432 NORW 3-B   (AV),143,32,,,,,,,,,,,0,1,176,0.003323452,0,0,0,0,0,0,0,0,0,0,0.003323452,0.000765115, 0.15 ,14713 - 14789,14713.40178,75.51150205,14788.91328,,0
4433 NORW 3-C   (AV),173,43,,,,,,,,,,,0,1,217,0.00401825,0,0,0,0,0,0,0,0,0,0,0.00401825,0.000925069, 0.15 ,14790 - 14881,14789.91328,91.50693802,14881.42022,,0
4441 NORW 4-A   (AV),90,32,,,,,,,,,,,0,3,125,0.002119135,0,0,0,0,0,0,0,0,0,0,0.002119135,0.000487861, 0.15 ,14882 - 14930,14882.42022,47.78607971,14930.2063,,0
4442 NORW 4-B   (AV),104,38,,,,,,,,,,,0,4,146,0.002454954,0,0,0,0,0,0,0,0,0,0,0.002454954,0.000565172, 0.15 ,14931 - 14987,14931.2063,55.51720709,14986.7235,,0
4443 NORW 4-C   (AV),110,57,,,,,,,,,,,0,1,168,0.002559174,0,0,0,0,0,0,0,0,0,0,0.002559174,0.000589165, 0.15 ,14988 - 15046,14987.7235,57.91652249,15045.64003,,0
4611 READ 1-A   (AV),76,43,,,,,,,,,,,0,3,122,0.001794896,0,0,0,0,0,0,0,0,0,0,0.001794896,0.000413215, 0.15 ,15047 - 15087,15046.64003,40.32154292,15086.96157,,0
4612 READ 1-B   (AV),22,3,,,,,,,,,,,0,0,25,0.000509519,0,0,0,0,0,0,0,0,0,0,0.000509519,0.0001173, 0.15 ,15088 - 15099,15087.96157,10.72998638,15098.69155,,0
4621 READ 2-A   (AV),38,29,,,,,,,,,,,0,1,68,0.000891658,0,0,0,0,0,0,0,0,0,0,0.000891658,0.000205275, 0.15 ,15100 - 15119,15099.69155,19.52747616,15119.21903,,0
4622 READ 2-B   (AV),20,20,,,,,,,,,,,0,0,40,0.000463199,0,0,0,0,0,0,0,0,0,0,0.000463199,0.000106636, 0.15 ,15120 - 15130,15120.21903,9.663623979,15129.88265,,0
4631 READ 3-A   (AV),62,29,,,,,,,,,,,0,0,91,0.001435916,0,0,0,0,0,0,0,0,0,0,0.001435916,0.000330572, 0.15 ,15131 - 15163,15130.88265,32.05723434,15162.93989,,0
4632 READ 3-B   (AV),45,31,,,,,,,,,,,0,0,76,0.001042197,0,0,0,0,0,0,0,0,0,0,0.001042197,0.000239932, 0.15 ,15164 - 15187,15163.93989,22.99315395,15186.93304,,0
4641 READ 4-A   (AV),38,26,,,,,,,,,,,0,1,65,0.000891658,0,0,0,0,0,0,0,0,0,0,0.000891658,0.000205275, 0.15 ,15188 - 15207,15187.93304,19.52747616,15207.46052,,0
4642 READ 4-B   (AV),44,44,,,,,,,,,,,0,0,88,0.001019037,0,0,0,0,0,0,0,0,0,0,0.001019037,0.0002346, 0.15 ,15208 - 15231,15208.46052,22.45997275,15230.92049,,0
4911 SHAR 1-A   (AV),46,18,,,,,,,,,,,0,2,66,0.001088517,0,0,0,0,0,0,0,0,0,0,0.001088517,0.000250595, 0.15 ,15232 - 15256,15231.92049,24.05951635,15255.98001,,0
4912 SHAR 1-B   (AV),59,20,,,,,,,,,,,0,0,79,0.001366437,0,0,0,0,0,0,0,0,0,0,0.001366437,0.000314577, 0.15 ,15257 - 15287,15256.98001,30.45769074,15287.4377,,0
4921 SHAR 2-A   (AV),65,32,,,,,,,,,,,0,1,98,0.001516976,0,0,0,0,0,0,0,0,0,0,0.001516976,0.000349234, 0.15 ,15288 - 15322,15288.4377,33.92336853,15322.36107,,0
4931 SHAR 3-A   (AV),126,42,,,,,,,,,,,0,1,169,0.002929733,0,0,0,0,0,0,0,0,0,0,0.002929733,0.000674474, 0.15 ,15323 - 15390,15323.36107,66.44742167,15389.80849,,0
4932 SHAR 3-B   (AV),44,35,,,,,,,,,,,0,0,79,0.001019037,0,0,0,0,0,0,0,0,0,0,0.001019037,0.0002346, 0.15 ,15391 - 15413,15390.80849,22.45997275,15413.26846,,0
4941 SHAR 4-A   (AV),80,28,,,,,,,,,,,0,1,109,0.001864375,0,0,0,0,0,0,0,0,0,0,0.001864375,0.000429211, 0.15 ,15414 - 15456,15414.26846,41.92108652,15456.18955,,0
4942 SHAR 4-B   (AV),104,31,,,,,,,,,,,0,1,136,0.002420214,0,0,0,0,0,0,0,0,0,0,0.002420214,0.000557174, 0.16 ,15457 - 15512,15457.18955,54.71743529,15511.90698,,0
5201 SPDALE A   (AV),42,7,,,,,,,,,,,0,0,49,0.000972718,0,0,0,0,0,0,0,0,0,0,0.000972718,0.000223936, 0.16 ,15513 - 15534,15512.90698,21.39361036,15534.30059,,0
5202 SPDALE B   (AV),63,24,,,,,,,,,,,0,1,88,0.001470656,0,0,0,0,0,0,0,0,0,0,0.001470656,0.00033857, 0.16 ,15535 - 15568,15535.30059,32.85700613,15568.1576,,0
5203 SPDALE C   (AV),89,49,,,,,,,,,,,0,3,141,0.002095975,0,0,0,0,0,0,0,0,0,0,0.002095975,0.000482529, 0.16 ,15569 - 15616,15569.1576,47.25289851,15616.4105,,0
5204 SPDALE D   (AV),44,17,,,,,,,,,,,0,0,61,0.001019037,0,0,0,0,0,0,0,0,0,0,0.001019037,0.0002346, 0.16 ,15617 - 15640,15617.4105,22.45997275,15639.87047,,0
5205 SPDALE E   (AV),29,17,,,,,,,,,,,1,3,50,0.000717958,0,0,0,0,0,0,0,0,0,0,0.000717958,0.000165286, 0.16 ,15641 - 15656,15640.87047,15.52861717,15656.39909,,0
5206 SPDALE F   (AV),40,22,,,,,,,,,,,0,0,62,0.000926398,0,0,0,0,0,0,0,0,0,0,0.000926398,0.000213272, 0.16 ,15657 - 15678,15657.39909,20.32724796,15677.72634,,0
5207 SPDALE G   (AV),38,8,,,,,,,,,,,0,0,46,0.000880078,0,0,0,0,0,0,0,0,0,0,0.000880078,0.000202609, 0.16 ,15679 - 15698,15678.72634,19.26088556,15697.98722,,0
5208 SPDALE H   (AV),78,10,,,,,,,,,,,0,0,88,0.001806476,0,0,0,0,0,0,0,0,0,0,0.001806476,0.000415881, 0.16 ,15699 - 15740,15698.98722,40.58813352,15739.57536,,0
5301 WYOM A   (AV),183,52,,,,,,,,,,,0,1,236,0.004249849,0,0,0,0,0,0,0,0,0,0,0.004249849,0.000978388, 0.16 ,15741 - 15837,15740.57536,96.83875001,15837.41411,,0
5302 WYOM B   (AV),234,40,,,,,,,,,,,0,0,274,0.005419427,0,0,0,0,0,0,0,0,0,0,0.005419427,0.001247644, 0.16 ,15838 - 15962,15838.41411,123.7644006,15962.17851,,0
5303 WYOM C   (AV),198,18,,,,,,,,,,,0,0,216,0.004585669,0,0,0,0,0,0,0,0,0,0,0.004585669,0.001055699, 0.16 ,15963 - 16068,15963.17851,104.5698774,16067.74838,,0
5304 WYOM D   (AV),128,15,,,,,,,,,,,0,0,143,0.002964473,0,0,0,0,0,0,0,0,0,0,0.002964473,0.000682472, 0.16 ,16069 - 16136,16068.74838,67.24719347,16135.99558,,0
5305 WYOM E   (AV),218,32,,,,,,,,,,,0,0,250,0.005048867,0,0,0,0,0,0,0,0,0,0,0.005048867,0.001162335, 0.16 ,16137 - 16252,16136.99558,115.2335014,16252.22908,,0
5501 AMBER A   (AV),124,16,,,,,,,,,,,0,2,142,0.002894993,0,0,0,0,0,0,0,0,0,0,0.002894993,0.000666476, 0.16 ,16253 - 16319,16253.22908,65.64764987,16318.87673,,0
5502 AMBER B   (AV),114,26,,,,,,,,,,,0,2,142,0.002663393,0,0,0,0,0,0,0,0,0,0,0.002663393,0.000613158, 0.16 ,16320 - 16380,16319.87673,60.31583788,16380.19257,,0
5503 AMBER C   (AV),87,21,,,,,,,,,,,0,0,108,0.002014915,0,0,0,0,0,0,0,0,0,0,0.002014915,0.000463868, 0.16 ,16381 - 16427,16381.19257,45.38676431,16426.57933,,0
5504 AMBER D   (AV),146,42,,,,,,,,,,,0,0,188,0.003381352,0,0,0,0,0,0,0,0,0,0,0.003381352,0.000778445, 0.17 ,16428 - 16504,16427.57933,76.84445505,16504.42379,,0
5601 AND A   (AV),73,29,,,,,,,,,,,0,0,102,0.001690676,0,0,0,0,0,0,0,0,0,0,0.001690676,0.000389222, 0.17 ,16505 - 16543,16505.42379,37.92222752,16543.34601,,0
5602 AND B   (AV),94,62,,,,,,,,,,,0,0,156,0.002177035,0,0,0,0,0,0,0,0,0,0,0.002177035,0.00050119, 0.17 ,16544 - 16593,16544.34601,49.1190327,16593.46505,,0
5603 AND C   (AV),168,45,,,,,,,,,,,0,2,215,0.00391403,0,0,0,0,0,0,0,0,0,0,0.00391403,0.000901076, 0.17 ,16594 - 16684,16594.46505,89.10762263,16683.57267,,0
5604 AND D   (AV),143,44,,,,,,,,,,,0,1,188,0.003323452,0,0,0,0,0,0,0,0,0,0,0.003323452,0.000765115, 0.17 ,16685 - 16760,16684.57267,75.51150205,16760.08417,,0
5605 AND E   (AV),115,63,,,,,,,,,,,0,1,179,0.002674973,0,0,0,0,0,0,0,0,0,0,0.002674973,0.000615824, 0.17 ,16761 - 16822,16761.08417,60.58242848,16821.6666,,0
5606 AND F   (AV),136,49,,,,,,,,,,,0,1,186,0.003161332,0,0,0,0,0,0,0,0,0,0,0.003161332,0.000727792, 0.17 ,16823 - 16894,16822.6666,71.77923366,16894.44583,,0
5607 AND G   (AV),84,41,,,,,,,,,,,0,3,128,0.001980175,0,0,0,0,0,0,0,0,0,0,0.001980175,0.00045587, 0.17 ,16895 - 16940,16895.44583,44.58699251,16940.03283,,0
5608 AND H   (AV),109,42,,,,,,,,,,,0,1,152,0.002536014,0,0,0,0,0,0,0,0,0,0,0.002536014,0.000583833, 0.17 ,16941 - 16998,16941.03283,57.38334129,16998.41617,,0
5609 AND I   (AV),209,94,,,,,,,,,,,0,3,306,0.004875168,0,0,0,0,0,0,0,0,0,0,0.004875168,0.001122346, 0.17 ,16999 - 17111,16999.41617,111.2346424,17110.65081,,0
5610 AND J   (AV),77,46,,,,,,,,,,,0,2,125,0.001806476,0,0,0,0,0,0,0,0,0,0,0.001806476,0.000415881, 0.17 ,17112 - 17152,17111.65081,40.58813352,17152.23894,,0
5611 AND K   (AV),100,37,,,,,,,,,,,0,0,137,0.002315994,0,0,0,0,0,0,0,0,0,0,0.002315994,0.000533181, 0.17 ,17153 - 17206,17153.23894,52.3181199,17205.55706,,0
5612 AND L   (AV),119,46,,,,,,,,,,,0,3,168,0.002790773,0,0,0,0,0,0,0,0,0,0,0.002790773,0.000642483, 0.17 ,17207 - 17270,17206.55706,63.24833448,17269.8054,,0
5613 AND M   (AV),45,25,,,,,,,,,,,0,0,70,0.001042197,0,0,0,0,0,0,0,0,0,0,0.001042197,0.000239932, 0.17 ,17271 - 17294,17270.8054,22.99315395,17293.79855,,0
5614 AND N   (AV),94,55,,,,,,,,,,,0,0,149,0.002177035,0,0,0,0,0,0,0,0,0,0,0.002177035,0.00050119, 0.17 ,17295 - 17344,17294.79855,49.1190327,17343.91758,,0
5615 AND O   (AV),76,43,,,,,,,,,,,0,3,122,0.001794896,0,0,0,0,0,0,0,0,0,0,0.001794896,0.000413215, 0.17 ,17345 - 17385,17344.91758,40.32154292,17385.23913,,0
5616 AND P   (AV),44,26,,,,,,,,,,,0,0,70,0.001019037,0,0,0,0,0,0,0,0,0,0,0.001019037,0.0002346, 0.17 ,17386 - 17409,17386.23913,22.45997275,17408.6991,,0
5617 AND Q   (AV),97,42,,,,,,,,,,,0,1,140,0.002258094,0,0,0,0,0,0,0,0,0,0,0.002258094,0.000519852, 0.17 ,17410 - 17461,17409.6991,50.9851669,17460.68427,,0
5618 AND R   (AV),103,53,,,,,,,,,,,0,0,156,0.002385474,0,0,0,0,0,0,0,0,0,0,0.002385474,0.000549177, 0.18 ,17462 - 17516,17461.68427,53.91766349,17515.60193,,0
5619 AND S   (AV),87,50,,,,,,,,,,,0,1,138,0.002026495,0,0,0,0,0,0,0,0,0,0,0.002026495,0.000466534, 0.18 ,17517 - 17562,17516.60193,45.65335491,17562.25528,,0
5620 AND T   (AV),61,24,,,,,,,,,,,0,0,85,0.001412756,0,0,0,0,0,0,0,0,0,0,0.001412756,0.000325241, 0.18 ,17563 - 17595,17563.25528,31.52405314,17594.77934,,0
5621 AND U   (AV),105,29,,,,,,,,,,,0,0,134,0.002431794,0,0,0,0,0,0,0,0,0,0,0.002431794,0.00055984, 0.18 ,17596 - 17651,17595.77934,54.98402589,17650.76336,,0
5622 AND V   (AV),45,23,,,,,,,,,,,0,1,69,0.001053777,0,0,0,0,0,0,0,0,0,0,0.001053777,0.000242597, 0.18 ,17652 - 17675,17651.76336,23.25974455,17675.02311,,0
5623 AND W   (AV),98,37,,,,,,,,,,,0,0,135,0.002269674,0,0,0,0,0,0,0,0,0,0,0.002269674,0.000522518, 0.18 ,17676 - 17727,17676.02311,51.2517575,17727.27487,,0
5624 AND X   (AV),47,28,,,,,,,,,,,0,1,76,0.001100097,0,0,0,0,0,0,0,0,0,0,0.001100097,0.000253261, 0.18 ,17728 - 17753,17728.27487,24.32610695,17752.60097,,0
5625 AND Y   (AV),55,27,,,,,,,,,,,1,2,85,0.001308537,0,0,0,0,0,0,0,0,0,0,0.001308537,0.000301247, 0.18 ,17754 - 17783,17753.60097,29.12473774,17782.72571,,0
5626 AND Z   (AV),86,34,,,,,,,,,,,0,0,120,0.001991755,0,0,0,0,0,0,0,0,0,0,0.001991755,0.000458536, 0.18 ,17784 - 17829,17783.72571,44.85358311,17828.57929,,0
5627 AND AA   (AV),82,34,,,,,,,,,,,0,0,116,0.001899115,0,0,0,0,0,0,0,0,0,0,0.001899115,0.000437209, 0.18 ,17830 - 17872,17829.57929,42.72085832,17872.30015,,0
5628 AND BB   (AV),42,19,,,,,,,,,,,0,0,61,0.000972718,0,0,0,0,0,0,0,0,0,0,0.000972718,0.000223936, 0.18 ,17873 - 17895,17873.30015,21.39361036,17894.69376,,0
5629 AND CC   (AV),54,30,,,,,,,,,,,0,1,85,0.001262217,0,0,0,0,0,0,0,0,0,0,0.001262217,0.000290584, 0.18 ,17896 - 17924,17895.69376,28.05837534,17923.75214,,0
5630 AND DD   (AV),65,30,,,,,,,,,,,1,2,98,0.001540136,0,0,0,0,0,0,0,0,0,0,0.001540136,0.000354565, 0.18 ,17925 - 17959,17924.75214,34.45654973,17959.20869,,0
5631 AND EE   (AV),63,31,,,,,,,,,,,0,0,94,0.001459076,0,0,0,0,0,0,0,0,0,0,0.001459076,0.000335904, 0.18 ,17960 - 17993,17960.20869,32.59041553,17992.7991,,0
5632 AND FF   (AV),131,51,,,,,,,,,,,0,0,182,0.003033952,0,0,0,0,0,0,0,0,0,0,0.003033952,0.000698467, 0.18 ,17994 - 18063,17993.7991,68.84673706,18062.64584,,0
5801 ARLN A   (AV),5,9,,,,,,,,,,,0,0,14,0.0001158,0,0,0,0,0,0,0,0,0,0,0.0001158,2.66591E-05, 0.18 ,18064 - 18065,18063.64584,1.665905995,18065.31175,,0
5901 COLE A   (AV),61,57,,,,,,,,,,,0,1,119,0.001424336,0,0,0,0,0,0,0,0,0,0,0.001424336,0.000327906, 0.18 ,18066 - 18098,18066.31175,31.79064374,18098.10239,,0
5902 COLE B   (AV),39,10,,,,,,,,,,,0,0,49,0.000903238,0,0,0,0,0,0,0,0,0,0,0.000903238,0.000207941, 0.18 ,18099 - 18119,18099.10239,19.79406676,18118.89646,,0
5903 COLE C   (AV),32,23,,,,,,,,,,,0,3,58,0.000775858,0,0,0,0,0,0,0,0,0,0,0.000775858,0.000178616, 0.18 ,18120 - 18137,18119.89646,16.86157017,18136.75803,,0
5904 COLE D   (AV),27,5,,,,,,,,,,,0,0,32,0.000625318,0,0,0,0,0,0,0,0,0,0,0.000625318,0.000143959, 0.18 ,18138 - 18151,18137.75803,13.39589237,18151.15392,,0
5905 COLE E   (AV),82,70,,,,,,,,,,,0,2,154,0.001922275,0,0,0,0,0,0,0,0,0,0,0.001922275,0.00044254, 0.18 ,18152 - 18195,18152.15392,43.25403951,18195.40796,,0
5906 COLE F   (AV),47,63,,,,,,,,,,,0,0,110,0.001088517,0,0,0,0,0,0,0,0,0,0,0.001088517,0.000250595, 0.18 ,18196 - 18220,18196.40796,24.05951635,18220.46747,,0
5907 COLE G   (AV),49,72,,,,,,,,,,,0,2,123,0.001157997,0,0,0,0,0,0,0,0,0,0,0.001157997,0.000266591, 0.18 ,18221 - 18247,18221.46747,25.65905995,18247.12653,,0
5908 COLE H   (AV),82,30,,,,,,,,,,,0,0,112,0.001899115,0,0,0,0,0,0,0,0,0,0,0.001899115,0.000437209, 0.18 ,18248 - 18291,18248.12653,42.72085832,18290.84739,,0
5909 COLE I   (AV),47,27,,,,,,,,,,,0,1,75,0.001100097,0,0,0,0,0,0,0,0,0,0,0.001100097,0.000253261, 0.18 ,18292 - 18316,18291.84739,24.32610695,18316.1735,,0
5910 COLE J   (AV),55,35,,,,,,,,,,,0,0,90,0.001273797,0,0,0,0,0,0,0,0,0,0,0.001273797,0.00029325, 0.18 ,18317 - 18345,18317.1735,28.32496594,18345.49847,,0
5911 COLE K   (AV),51,27,,,,,,,,,,,0,3,81,0.001215897,0,0,0,0,0,0,0,0,0,0,0.001215897,0.00027992, 0.18 ,18346 - 18373,18346.49847,26.99201295,18373.49048,,0
5912 COLE L   (AV),41,88,,,,,,,,,,,0,3,132,0.000984298,0,0,0,0,0,0,0,0,0,0,0.000984298,0.000226602, 0.18 ,18374 - 18396,18374.49048,21.66020096,18396.15068,,0
5913 COLE M   (AV),31,30,,,,,,,,,,,0,0,61,0.000717958,0,0,0,0,0,0,0,0,0,0,0.000717958,0.000165286, 0.18 ,18397 - 18413,18397.15068,15.52861717,18412.6793,,0
5914 COLE N   (AV),65,63,,,,,,,,,,,0,2,130,0.001528556,0,0,0,0,0,0,0,0,0,0,0.001528556,0.0003519, 0.18 ,18414 - 18448,18413.6793,34.18995913,18447.86926,,0
5915 COLE O   (AV),15,18,,,,,,,,,,,0,0,33,0.000347399,0,0,0,0,0,0,0,0,0,0,0.000347399,7.99772E-05, 0.18 ,18449 - 18456,18448.86926,6.997717984,18455.86697,,0
5916 COLE P   (AV),29,11,,,,,,,,,,,0,0,40,0.000671638,0,0,0,0,0,0,0,0,0,0,0.000671638,0.000154623, 0.18 ,18457 - 18471,18456.86697,14.46225477,18471.32923,,0
5917 COLE Q   (AV),69,81,,,,,,,,,,,0,2,152,0.001621196,0,0,0,0,0,0,0,0,0,0,0.001621196,0.000373227, 0.19 ,18472 - 18509,18472.32923,36.32268393,18508.65191,,0
5918 COLE R   (AV),49,28,,,,,,,,,,,0,0,77,0.001134837,0,0,0,0,0,0,0,0,0,0,0.001134837,0.000261259, 0.19 ,18510 - 18535,18509.65191,25.12587875,18534.77779,,0
5919 COLE S   (AV),41,34,,,,,,,,,,,0,1,76,0.000961138,0,0,0,0,0,0,0,0,0,0,0.000961138,0.00022127, 0.19 ,18536 - 18557,18535.77779,21.12701976,18556.90481,,0
5920 COLE T   (AV),48,10,,,,,,,,,,,0,0,58,0.001111677,0,0,0,0,0,0,0,0,0,0,0.001111677,0.000255927, 0.19 ,18558 - 18582,18557.90481,24.59269755,18582.49751,,0
5921 COLE U   (AV),54,16,,,,,,,,,,,0,0,70,0.001250637,0,0,0,0,0,0,0,0,0,0,0.001250637,0.000287918, 0.19 ,18583 - 18611,18583.49751,27.79178474,18611.28929,,0
5922 COLE V   (AV),34,16,,,,,,,,,,,0,0,50,0.000787438,0,0,0,0,0,0,0,0,0,0,0.000787438,0.000181282, 0.19 ,18612 - 18629,18612.28929,17.12816076,18629.41745,,0
5923 COLE W   (AV),14,5,,,,,,,,,,,0,0,19,0.000324239,0,0,0,0,0,0,0,0,0,0,0.000324239,7.46454E-05, 0.19 ,18630 - 18637,18630.41745,6.464536786,18636.88199,,0
5924 COLE X   (AV),38,14,,,,,,,,,,,0,1,53,0.000891658,0,0,0,0,0,0,0,0,0,0,0.000891658,0.000205275, 0.19 ,18638 - 18657,18637.88199,19.52747616,18657.40947,,0
5925 COLE Y   (AV),46,25,,,,,,,,,,,0,0,71,0.001065357,0,0,0,0,0,0,0,0,0,0,0.001065357,0.000245263, 0.19 ,18658 - 18682,18658.40947,23.52633515,18681.9358,,0
5926 COLE Z   (AV),32,6,,,,,,,,,,,0,1,39,0.000752698,0,0,0,0,0,0,0,0,0,0,0.000752698,0.000173284, 0.19 ,18683 - 18699,18682.9358,16.32838897,18699.26419,,0
5927 COLE AA   (AV),78,57,,,,,,,,,,,0,2,137,0.001829635,0,0,0,0,0,0,0,0,0,0,0.001829635,0.000421213, 0.19 ,18700 - 18741,18700.26419,41.12131472,18741.38551,,0
5928 COLE BB   (AV),55,58,,,,,,,,,,,0,2,115,0.001296957,0,0,0,0,0,0,0,0,0,0,0.001296957,0.000298581, 0.19 ,18742 - 18771,18742.38551,28.85814714,18771.24365,,0
5929 COLE CC   (AV),23,19,,,,,,,,,,,0,1,43,0.000544259,0,0,0,0,0,0,0,0,0,0,0.000544259,0.000125298, 0.19 ,18772 - 18784,18772.24365,11.52975818,18783.77341,,0
5930 COLE DD   (AV),44,12,,,,,,,,,,,0,0,56,0.001019037,0,0,0,0,0,0,0,0,0,0,0.001019037,0.0002346, 0.19 ,18785 - 18807,18784.77341,22.45997275,18807.23338,,0
5931 COLE EE   (AV),54,27,,,,,,,,,,,0,1,82,0.001262217,0,0,0,0,0,0,0,0,0,0,0.001262217,0.000290584, 0.19 ,18808 - 18836,18808.23338,28.05837534,18836.29176,,0
5932 COLE FF   (AV),15,11,,,,,,,,,,,0,0,26,0.000347399,0,0,0,0,0,0,0,0,0,0,0.000347399,7.99772E-05, 0.19 ,18837 - 18844,18837.29176,6.997717984,18844.28948,,0
5933 COLE GG   (AV),40,20,,,,,,,,,,,0,0,60,0.000926398,0,0,0,0,0,0,0,0,0,0,0.000926398,0.000213272, 0.19 ,18845 - 18866,18845.28948,20.32724796,18865.61673,,0
5934 COLE HH   (AV),37,16,,,,,,,,,,,0,0,53,0.000856918,0,0,0,0,0,0,0,0,0,0,0.000856918,0.000197277, 0.19 ,18867 - 18885,18866.61673,18.72770436,18885.34443,,0
5935 COLE II   (AV),14,12,,,,,,,,,,,0,0,26,0.000324239,0,0,0,0,0,0,0,0,0,0,0.000324239,7.46454E-05, 0.19 ,18886 - 18893,18886.34443,6.464536786,18892.80897,,0
5936 COLE JJ   (AV),47,23,,,,,,,,,,,0,0,70,0.001088517,0,0,0,0,0,0,0,0,0,0,0.001088517,0.000250595, 0.19 ,18894 - 18918,18893.80897,24.05951635,18917.86848,,0
5937 COLE KK   (AV),91,21,,,,,,,,,,,0,0,112,0.002107555,0,0,0,0,0,0,0,0,0,0,0.002107555,0.000485195, 0.19 ,18919 - 18966,18918.86848,47.51948911,18966.38797,,0
5938 COLE LL   (AV),22,11,,,,,,,,,,,0,0,33,0.000509519,0,0,0,0,0,0,0,0,0,0,0.000509519,0.0001173, 0.19 ,18967 - 18978,18967.38797,10.72998638,18978.11796,,0
6201 COLUM A   (AV),22,5,,,,,,,,,,,0,0,27,0.000509519,0,0,0,0,0,0,0,0,0,0,0.000509519,0.0001173, 0.19 ,18979 - 18990,18979.11796,10.72998638,18989.84794,,0
6202 COLUM B   (AV),53,9,,,,,,,,,,,0,0,62,0.001227477,0,0,0,0,0,0,0,0,0,0,0.001227477,0.000282586, 0.19 ,18991 - 19018,18990.84794,27.25860355,19018.10655,,0
6203 COLUM C   (AV),80,17,,,,,,,,,,,0,0,97,0.001852795,0,0,0,0,0,0,0,0,0,0,0.001852795,0.000426545, 0.19 ,19019 - 19061,19019.10655,41.65449592,19060.76104,,0
6204 COLUM D   (AV),57,6,,,,,,,,,,,0,0,63,0.001320117,0,0,0,0,0,0,0,0,0,0,0.001320117,0.000303913, 0.19 ,19062 - 19091,19061.76104,29.39132834,19091.15237,,0
6205 COLUM E   (AV),43,23,,,,,,,,,,,0,0,66,0.000995878,0,0,0,0,0,0,0,0,0,0,0.000995878,0.000229268, 0.19 ,19092 - 19114,19092.15237,21.92679156,19114.07916,,0
6206 COLUM F   (AV),68,20,,,,,,,,,,,0,0,88,0.001574876,0,0,0,0,0,0,0,0,0,0,0.001574876,0.000362563, 0.19 ,19115 - 19150,19115.07916,35.25632153,19150.33549,,0
6207 COLUM G   (AV),93,21,,,,,,,,,,,0,1,115,0.002165455,0,0,0,0,0,0,0,0,0,0,0.002165455,0.000498524, 0.19 ,19151 - 19200,19151.33549,48.8524421,19200.18793,,0
6208 COLUM H   (AV),0,0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 0.19 ,Zero,19201.18793,-1,19200.18793,,0
6209 COLUM I   (AV),7,3,,,,,,,,,,,0,0,10,0.00016212,0,0,0,0,0,0,0,0,0,0,0.00016212,3.73227E-05, 0.19 ,19201 - 19204,19201.18793,2.732268393,19203.9202,,0
6401 CROSB A   (AV),41,43,,,,,,,,,,,0,0,84,0.000949558,0,0,0,0,0,0,0,0,0,0,0.000949558,0.000218604, 0.19 ,19205 - 19226,19204.9202,20.86042916,19225.78063,,0
6402 CROSB B   (AV),37,52,,,,,,,,,,,0,0,89,0.000856918,0,0,0,0,0,0,0,0,0,0,0.000856918,0.000197277, 0.19 ,19227 - 19246,19226.78063,18.72770436,19245.50833,,0
