(Declared Winner)","NO
(Declared Loser)",UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,Over Votes,Under Votes,Total,"Error Bound (up) - 
Max. possible relative overstatement for
NO (Loser)",Error Bound (up) - UNDEFINED,Error Bound (up) - UNDEFINED,Error Bound (up) - UNDEFINED,Error Bound (up) - UNDEFINED,Error Bound (up) - UNDEFINED,Error Bound (up) - UNDEFINED,Error Bound (up) - UNDEFINED,Error Bound (up) - UNDEFINED,Error Bound (up) - UNDEFINED,Error Bound (up) - UNDEFINED,Max Error Bound (up),up/U Selection Probability,Running (cumulative) sum,Selection Range,Lower Range,Span,Upper Range,"Selection - 
Batch picked for audit",Times p Drawn - With Replacement
Batch by Type (p),Winning Candidate,Losing Candidate,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Candidate 7,Candidate 8,Candidate 9,Candidate 10,Candidate 11,Candidate 12,Over Votes,Under Votes,Total,Error Bound (up) - Max. possible relative overstatement - Losing Candidate,Error Bound (up) - Max. possible relative overstatement - Candidate 3,Error Bound (up) - Max. possible relative overstatement - Candidate 4,Error Bound (up) - Max. possible relative overstatement - Candidate 5,Error Bound (up) - Max. possible relative overstatement - Candidate 6,Error Bound (up) - Max. possible relative overstatement - Candidate 7,Error Bound (up) - Max. possible relative overstatement - Candidate 8,Error Bound (up) - Max. possible relative overstatement - Candidate 9,Error Bound (up) - Max. possible relative overstatement - Candidate 10,Error Bound (up) - Max. possible relative overstatement - Candidate 11,Error Bound (up) - Max. possible relative overstatement - Candidate 12,Max Error Bound (up),up/U Selection Probability,Running (cumulative) sum,Selection Range,Lower Range,Span,Upper Range,Selection - Batch picked for audit,Times p Drawn - With Replacement
0208 CIN 2-H   (AV),85,13,,,,,,,,,,,0,2,100,0.001991755,0,0,0,0,0,0,0,0,0,0,0.001991755,0.000458536,0.014118638,01366 - 01411,1366.010232,44.85358311,1410.863815,,0
0209 CIN 2-I   (AV),147,33,,,,,,,,,,,0,0,180,0.003404512,0,0,0,0,0,0,0,0,0,0,0.003404512,0.000783776,0.014902415,01412 - 01489,1411.863815,77.37763625,1489.241451,,0
0210 CIN 2-J   (AV),153,22,,,,,,,,,,,0,1,176,0.003555051,0,0,0,0,0,0,0,0,0,0,0.003555051,0.000818433,0.015720848,01490 - 01571,1490.241451,80.84331404,1571.084765,,0
0211 CIN 2-K   (AV),225,27,,,,,,,,,,,0,0,252,0.005210987,0,0,0,0,0,0,0,0,0,0,0.005210987,0.001199658,0.016920505,01572 - 01691,1572.084765,118.9657698,1691.050535,,0
0301 CIN 3-A   (AV),125,11,,,,,,,,,,,0,0,136,0.002894993,0,0,0,0,0,0,0,0,0,0,0.002894993,0.000666476,0.017586982,01692 - 01758,1692.050535,65.64764987,1757.698185,,0
0302 CIN 3-B   (AV),119,24,,,,,,,,,,,0,3,146,0.002790773,0,0,0,0,0,0,0,0,0,0,0.002790773,0.000642483,0.018229465,01759 - 01822,1758.698185,63.24833448,1821.946519,,0
0303 CIN 3-C   (AV),239,59,,,,,,,,,,,1,3,302,0.005581546,0,0,0,0,0,0,0,0,0,0,0.005581546,0.001284967,0.019514432,01823 - 01950,1822.946519,127.496669,1950.443188,,0
0304 CIN 3-D   (AV),121,10,,,,,,,,,,,0,4,135,0.002848673,0,0,0,0,0,0,0,0,0,0,0.002848673,0.000655813,0.020170245,01951 - 02016,1951.443188,64.58128747,2016.024476,,0
0305 CIN 3-E   (AV),120,17,,,,,,,,,,,0,0,137,0.002779193,0,0,0,0,0,0,0,0,0,0,0.002779193,0.000639817,0.020810062,02017 - 02080,2017.024476,62.98174388,2080.00622,,0
0401 CIN 4-A   (AV),156,24,,,,,,,,,,,0,2,182,0.003636111,0,0,0,0,0,0,0,0,0,0,0.003636111,0.000837094,0.021647157,02081 - 02164,2081.00622,82.70944824,2163.715668,,0
0402 CIN 4-B   (AV),210,21,,,,,,,,,,,0,2,233,0.004886748,0,0,0,0,0,0,0,0,0,0,0.004886748,0.001125012,0.022772169,02165 - 02276,2164.715668,111.501233,2276.216901,,0
0403 CIN 4-C   (AV),181,16,,,,,,,,,,,0,0,197,0.00419195,0,0,0,0,0,0,0,0,0,0,0.00419195,0.000965058,1,99903 - 99999,99903.4942,95.50579701,99999,,0
0404 CIN 4-D   (AV),182,28,,,,,,,,,,,0,3,213,0.004249849,0,0,0,0,0,0,0,0,0,0,0.004249849,0.000978388, 0.02 ,02374 - 02471,2373.722698,96.83875001,2470.561448,,0
0405 CIN 4-E   (AV),151,27,,,,,,,,,,,0,0,178,0.003497151,0,0,0,0,0,0,0,0,0,0,0.003497151,0.000805104, 0.03 ,02472 - 02551,2471.561448,79.51036104,2551.071809,,0
0406 CIN 4-F   (AV),183,33,,,,,,,,,,,0,1,217,0.004249849,0,0,0,0,0,0,0,0,0,0,0.004249849,0.000978388, 0.03 ,02552 - 02649,2552.071809,96.83875001,2648.910559,,0
0407 CIN 4-G   (AV),208,57,,,,,,,,,,,0,1,266,0.004828848,0,0,0,0,0,0,0,0,0,0,0.004828848,0.001111683, 0.03 ,02650 - 02760,2649.910559,110.16828,2760.078839,,0
0408 CIN 4-H   (AV),226,36,,,,,,,,,,,0,2,264,0.005257307,0,0,0,0,0,0,0,0,0,0,0.005257307,0.001210321, 0.03 ,02761 - 02881,2761.078839,120.0321322,2881.110971,,0
0501 CIN 5-A   (AV),228,37,,,,,,,,,,,0,4,269,0.005326787,0,0,0,0,0,0,0,0,0,0,0.005326787,0.001226317, 0.03 ,02882 - 03004,2882.110971,121.6316758,3003.742647,,0
0502 CIN 5-B   (AV),177,38,,,,,,,,,,,0,1,216,0.00411089,0,0,0,0,0,0,0,0,0,0,0.00411089,0.000946397, 0.03 ,03005 - 03098,3004.742647,93.63966282,3098.38231,,0
0503 CIN 5-C   (AV),186,48,,,,,,,,,,,0,1,235,0.004319329,0,0,0,0,0,0,0,0,0,0,0.004319329,0.000994383, 0.03 ,03099 - 03198,3099.38231,98.43829361,3197.820603,,0
0504 CIN 5-D   (AV),276,58,,,,,,,,,,,0,3,337,0.006426884,0,0,0,0,0,0,0,0,0,0,0.006426884,0.001479578, 0.03 ,03199 - 03346,3198.820603,146.9577827,3345.778386,,0
0505 CIN 5-E   (AV),209,26,,,,,,,,,,,0,2,237,0.004863588,0,0,0,0,0,0,0,0,0,0,0.004863588,0.001119681, 0.03 ,03347 - 03458,3346.778386,110.9680518,3457.746438,,0
0506 CIN 5-F   (AV),135,36,,,,,,,,,,,1,0,172,0.003138172,0,0,0,0,0,0,0,0,0,0,0.003138172,0.000722461, 0.04 ,03459 - 03530,3458.746438,71.24605246,3529.99249,,0
0507 CIN 5-G   (AV),245,46,,,,,,,,,,,0,2,293,0.005697346,0,0,0,0,0,0,0,0,0,0,0.005697346,0.001311626, 0.04 ,03531 - 03661,3530.99249,130.1625749,3661.155065,,0
0508 CIN 5-H   (AV),143,6,,,,,,,,,,,0,1,150,0.003323452,0,0,0,0,0,0,0,0,0,0,0.003323452,0.000765115, 0.04 ,03662 - 03738,3662.155065,75.51150205,3737.666567,,0
0509 CIN 5-I   (AV),187,64,,,,,,,,,,,0,2,253,0.004354069,0,0,0,0,0,0,0,0,0,0,0.004354069,0.001002381, 0.04 ,03739 - 03838,3738.666567,99.23806541,3837.904633,,0
0601 CIN 6-A   (AV),162,11,,,,,,,,,,,0,0,173,0.003751911,0,0,0,0,0,0,0,0,0,0,0.003751911,0.000863754, 0.04 ,03839 - 03924,3838.904633,85.37535423,3924.279987,,0
0602 CIN 6-B   (AV),90,14,,,,,,,,,,,0,1,105,0.002095975,0,0,0,0,0,0,0,0,0,0,0.002095975,0.000482529, 0.04 ,03925 - 03973,3925.279987,47.25289851,3972.532885,,0
0603 CIN 6-C   (AV),108,11,,,,,,,,,,,0,1,120,0.002512854,0,0,0,0,0,0,0,0,0,0,0.002512854,0.000578502, 0.04 ,03974 - 04030,3973.532885,56.85016009,4030.383045,,0
0604 CIN 6-D   (AV),166,14,,,,,,,,,,,0,1,181,0.00385613,0,0,0,0,0,0,0,0,0,0,0.00385613,0.000887747, 0.04 ,04031 - 04119,4031.383045,87.77466963,4119.157715,,0
0605 CIN 6-E   (AV),162,18,,,,,,,,,,,0,0,180,0.003751911,0,0,0,0,0,0,0,0,0,0,0.003751911,0.000863754, 0.04 ,04120 - 04206,4120.157715,85.37535423,4205.533069,,0
0701 CIN 7-A   (AV),187,15,,,,,,,,,,,1,1,204,0.004354069,0,0,0,0,0,0,0,0,0,0,0.004354069,0.001002381, 0.04 ,04207 - 04306,4206.533069,99.23806541,4305.771135,,0
0702 CIN 7-B   (AV),51,11,,,,,,,,,,,0,0,62,0.001181157,0,0,0,0,0,0,0,0,0,0,0.001181157,0.000271922, 0.04 ,04307 - 04333,4306.771135,26.19224115,4332.963376,,0
0703 CIN 7-C   (AV),184,21,,,,,,,,,,,0,3,208,0.004296169,0,0,0,0,0,0,0,0,0,0,0.004296169,0.000989051, 0.04 ,04334 - 04432,4333.963376,97.90511241,4431.868488,,0
0704 CIN 7-D   (AV),108,17,,,,,,,,,,,0,4,129,0.002547594,0,0,0,0,0,0,0,0,0,0,0.002547594,0.000586499, 0.04 ,04433 - 04491,4432.868488,57.64993189,4490.51842,,0
0705 CIN 7-E   (AV),104,10,,,,,,,,,,,0,1,115,0.002420214,0,0,0,0,0,0,0,0,0,0,0.002420214,0.000557174, 0.05 ,04492 - 04546,4491.51842,54.71743529,4546.235855,,0
0706 CIN 7-F   (AV),116,20,,,,,,,,,,,0,6,142,0.002756033,0,0,0,0,0,0,0,0,0,0,0.002756033,0.000634486, 0.05 ,04547 - 04610,4547.235855,62.44856268,4609.684418,,0
0707 CIN 7-G   (AV),157,20,,,,,,,,,,,0,3,180,0.003670851,0,0,0,0,0,0,0,0,0,0,0.003670851,0.000845092, 0.05 ,04611 - 04694,4610.684418,83.50922004,4694.193638,,0
0708 CIN 7-H   (AV),84,8,,,,,,,,,,,0,3,95,0.001980175,0,0,0,0,0,0,0,0,0,0,0.001980175,0.00045587, 0.05 ,04695 - 04740,4695.193638,44.58699251,4739.780631,,0
0709 CIN 7-I   (AV),163,19,,,,,,,,,,,0,4,186,0.003821391,0,0,0,0,0,0,0,0,0,0,0.003821391,0.000879749, 0.05 ,04741 - 04828,4740.780631,86.97489783,4827.755528,,0
0710 CIN 7-J   (AV),46,12,,,,,,,,,,,0,3,61,0.001100097,0,0,0,0,0,0,0,0,0,0,0.001100097,0.000253261, 0.05 ,04829 - 04853,4828.755528,24.32610695,4853.081635,,0
0711 CIN 7-K   (AV),90,14,,,,,,,,,,,0,2,106,0.002107555,0,0,0,0,0,0,0,0,0,0,0.002107555,0.000485195, 0.05 ,04854 - 04902,4854.081635,47.51948911,4901.601124,,0
0801 CIN 8-A   (AV),125,11,,,,,,,,,,,0,1,137,0.002906573,0,0,0,0,0,0,0,0,0,0,0.002906573,0.000669142, 0.05 ,04903 - 04969,4902.601124,65.91424047,4968.515365,,0
0802 CIN 8-B   (AV),175,15,,,,,,,,,,,0,1,191,0.00406457,0,0,0,0,0,0,0,0,0,0,0.00406457,0.000935733, 0.05 ,04970 - 05062,4969.515365,92.57330042,5062.088665,,0
0803 CIN 8-C   (AV),244,77,,,,,,,,,,,0,4,325,0.005697346,0,0,0,0,0,0,0,0,0,0,0.005697346,0.001311626, 0.05 ,05063 - 05193,5063.088665,130.1625749,5193.25124,,0
0804 CIN 8-D   (AV),110,5,,,,,,,,,,,0,0,115,0.002547594,0,0,0,0,0,0,0,0,0,0,0.002547594,0.000586499, 0.05 ,05194 - 05252,5194.25124,57.64993189,5251.901172,,0
0901 CIN 9-A   (AV),48,5,,,,,,,,,,,0,0,53,0.001111677,0,0,0,0,0,0,0,0,0,0,0.001111677,0.000255927, 0.05 ,05253 - 05277,5252.901172,24.59269755,5277.49387,,0
0902 CIN 9-B   (AV),240,28,,,,,,,,,,,0,2,270,0.005581546,0,0,0,0,0,0,0,0,0,0,0.005581546,0.001284967, 0.05 ,05278 - 05406,5278.49387,127.496669,5405.990539,,0
