"","PrecinctNum","sum_polls_un","sum_polls_d","sum_polls_r","sum_absnt_d","sum_absnt_r","sum_absnt_un"
"181",2610,1501,101,8,9,5,265
"182",2611,2492,105,94,9,4,288
"183",2612,1142,64,25,9,11,242
"184",2613,686,33,11,6,1,95
"185",2614,1521,80,32,8,2,233
"186",2615,2675,184,74,10,4,271
"187",2616,1558,81,15,16,13,398
"188",2617,848,33,12,4,0,151
"189",2618,645,44,13,21,0,183
"190",2619,1382,40,52,11,8,265
