GEOID,NAME,pop_totalE,whiteE,blackE,asianE,hispanicE,median_ageE,med_incomeE,age_0_9,age_10_19,age_20_29,age_30_39,age_40_49,age_50_59,age_60_69,age_70_79,age_80plus,geometry
390610100043,Block Group 3; Census Tract 100.04; Hamilton County; Ohio,564,74,424,58,0,30.7,NA,89,126,0,225,0,21,103,0,0,"list(list(c(-84.596471, -84.589789, -84.589586, -84.588108, -84.587864, -84.585964, -84.582945, -84.578515, -84.57731, -84.577672, -84.580982, -84.583108, -84.585086, -84.586646, -84.590146, -84.594145, -84.59652, -84.596471, 39.126691, 39.126247, 39.128153, 39.128587, 39.131066, 39.12969, 39.128753, 39.129164, 39.128708, 39.126604, 39.12478, 39.122698, 39.122594, 39.121063, 39.122062, 39.125561, 39.126265, 39.126691)))"
390610105001,Block Group 1; Census Tract 105; Hamilton County; Ohio,1515,1316,31,0,98,36.4,53333,236,201,106,347,166,161,174,108,16,"list(list(c(-84.692575, -84.68658, -84.686285, -84.68554, -84.68083, -84.678446, -84.678629, -84.681612, -84.680715, -84.683349, -84.685062, -84.687232, -84.690681, -84.695316, -84.692575, 39.112532, 39.115773, 39.115315, 39.112753, 39.115298, 39.110806, 39.109796, 39.108874, 39.10709, 39.10771, 39.105035, 39.105457, 39.108488, 39.113766, 39.112532)))"
390610058001,Block Group 1; Census Tract 58; Hamilton County; Ohio,1371,693,639,0,1,56.6,63438,20,9,121,163,328,116,292,201,121,"list(list(c(-84.420498, -84.41996, -84.416605, -84.416469, -84.411059, -84.411413, -84.413765, -84.420326, -84.420498, 39.186415, 39.193493, 39.193395, 39.19488, 39.194484, 39.18956, 39.18867, 39.185919, 39.186415)))"
390610063003,Block Group 3; Census Tract 63; Hamilton County; Ohio,732,36,696,0,23,43.2,39323,135,47,61,85,59,140,84,114,7,"list(list(c(-84.467596, -84.467114, -84.459115, -84.459403, -84.467874, -84.467596, 39.173112, 39.174836, 39.174671, 39.171878, 39.172095, 39.173112)))"
390610267001,Block Group 1; Census Tract 267; Hamilton County; Ohio,756,127,465,9,115,30.5,48333,105,138,117,128,106,83,55,24,0,"list(list(c(-84.501392, -84.500414, -84.500125, -84.501198, -84.501832, -84.497185, -84.490355, -84.491996, -84.492415, -84.498713, -84.500068, -84.502453, -84.501392, 39.114816, 39.118218, 39.119775, 39.122181, 39.126684, 39.126375, 39.125948, 39.123002, 39.12253, 39.115568, 39.113022, 39.113191, 39.114816)))"
390610046032,Block Group 2; Census Tract 46.03; Hamilton County; Ohio,1621,1478,40,0,90,45.8,85259,91,290,121,154,353,125,302,84,101,"list(list(c(-84.391495, -84.391485, -84.391282, -84.374913, -84.37476, -84.374754, -84.373914, -84.369549, -84.369695, -84.375494, -84.375114, -84.376903, -84.380068, -84.380691, -84.382538, -84.382925, -84.391976, -84.391495, 39.079243, 39.079323, 39.080875, 39.079676, 39.081261, 39.081318, 39.080595, 39.074965, 39.073734, 39.07416, 39.077731, 39.07784, 39.078056, 39.078242, 39.078372, 39.074679, 39.075425, 39.079243)))"
390610060001,Block Group 1; Census Tract 60; Hamilton County; Ohio,674,237,134,30,297,30.5,63425,128,86,86,116,64,94,79,17,4,"list(list(c(-84.46865, -84.466596, -84.465821, -84.460821, -84.460609, -84.461094, -84.461963, -84.463674, -84.463795, -84.467343, -84.46865, 39.213237, 39.216124, 39.217889, 39.217828, 39.216248, 39.214119, 39.213496, 39.211839, 39.212222, 39.21226, 39.213237)))"
390610093002,Block Group 2; Census Tract 93; Hamilton County; Ohio,311,97,131,0,11,60.8,NA,0,0,65,26,0,21,135,29,35,"list(list(c(-84.562249, -84.561974, -84.560733, -84.557701, -84.557028, -84.558001, -84.563475, -84.562249, 39.106919, 39.109837, 39.109837, 39.108147, 39.105477, 39.105521, 39.105843, 39.106919)))"
390610037002,Block Group 2; Census Tract 37; Hamilton County; Ohio,708,4,535,0,1,60,14583,0,38,55,82,17,160,212,101,43,"list(list(c(-84.489057, -84.488741, -84.484237, -84.484516, -84.485129, -84.487905, -84.490355, -84.489057, 39.128146, 39.129051, 39.1288, 39.125551, 39.125594, 39.12578, 39.125948, 39.128146)))"
390610212012,Block Group 2; Census Tract 212.01; Hamilton County; Ohio,1164,1138,0,0,1,47.1,148194,147,148,76,106,157,234,167,76,53,"list(list(c(-84.652175, -84.651715, -84.65177, -84.652072, -84.651041, -84.649681, -84.646488, -84.643039, -84.639371, -84.639515, -84.638246, -84.63387, -84.634052, -84.634451, -84.634848, -84.644873, -84.649655, -84.652348, -84.652175, 39.121579, 39.127497, 39.134365, 39.134931, 39.135001, 39.134167, 39.132902, 39.134474, 39.133637, 39.131291, 39.130423, 39.12918, 39.127487, 39.123775, 39.120054, 39.1208, 39.119433, 39.119302, 39.121579)))"
